standard_id,group
MS01_V1_N1,2
MS01_V1_N10,2
MS01_V1_N11,2
MS01_V1_N3,2
MS01_V1_N4,2
MS01_V1_N5,2
MS01_V1_N6,2
MS01_V1_N8,2
MS01_V1_N9,2
MS01_VX_5,2
MS01_VX_6,2
MS01_VX_8,2
MS02_V1_N2,2
MS02_V1_N3,2
MS02_V1_N9,2
MS03_V1_N10,2
MS03_V1_N1_2,2
MS03_V1_N2,2
MS03_V1_N3,2
MS03_V1_N5_2,2
MS03_V1_N6,2
MS03_V1_N9,2
MS03_VX,2
MS04_V1_N1,1
MS04_V1_N10,1
MS04_V1_N11,1
MS04_V1_N2,1
MS04_V1_N3,1
MS04_V1_N4,1
MS04_V1_N5,1
MS04_V1_N6,1
MS04_V1_N7,1
MS04_V1_N8,1
MS04_V1_N9,1
MS04_V2_N1,1
MS04_V2_N2,1
MS04_V2_N3,1
MS04_V2_N4,1
MS04_V2_N5,1
MS04_V2_N6,1
MS04_V2_N7,1
MS04_V2_N8,1
MS04_V2_N9,1
MS05_V1_N1,2
MS05_V1_N2,2
MS05_V1_N3,2
MS05_V1_N4,2
MS05_V1_N5,2
MS05_V1_N6,2
MS05_V1_N7,2
MS05_V1_N8,2
MS05_V1_N9,2
MS06_V1_N2,2
MS07_V1_N1,2
MS07_V1_N10,2
MS07_V1_N11,2
MS07_V1_N12,2
MS07_V1_N2,2
MS07_V1_N3,2
MS07_V1_N4,2
MS07_V1_N5,2
MS07_V1_N6,2
MS07_V1_N8,2
MS07_V1_N9,2
MS08_V1_N1,2
MS08_V1_N2,2
MS08_V1_N3,2
MS08_V1_N4,2
MS08_V1_N5,2
MS09_V1_N1,2
MS09_V1_N10,2
MS09_V1_N11,2
MS09_V1_N12,2
MS09_V1_N13,2
MS09_V1_N2,2
MS09_V1_N4,2
MS09_V1_N5,2
MS09_V1_N6,2
MS09_V1_N7,2
MS09_V1_N8,2
MS09_V1_N9,2
MS10_V1_N1,3
MS10_V1_N2,3
MS10_V1_N3,3
MS10_V1_N4,3
MS10_V1_N5,3
MS10_V1_N6,3
MS10_V1_N7,3
MS10_V1_N8,3
MS10_V1_N9,3
