subject_id,is_active
MS01,yes
MS02,yes
MS03,yes
MS04,yes
MS05,yes
MS06,yes
MS07,yes
MS08,yes
MS09,yes
MS10,yes
MS11,no
MS12,yes
MS13,no
MS14,yes
MS15,no
MS16,yes
MS17,no
MS18,yes
MS19,yes
MS20,yes
MS21,yes
MS22,yes
MS23,yes
MS24,no
MS25,yes
MS26,yes
MS27,yes
MS28,yes
MS29,yes
MS30,yes
MS31,yes
MS32,yes
MS33,yes
MS34,yes
MS35,yes
MS36,yes
MS37,yes
MS38,yes
MS39,yes
MS40,yes
MS41,yes
MS42,yes
MS43,yes
MS44,yes
MS45,yes
MS46,yes
MS47,yes
MS48,yes
MS49,yes
MS50,yes
MS51,yes
MS52,no
MS53,yes
MS54,yes
MS55,yes
MS56,yes
MS57,yes
MS58,yes
MS59,yes
MS60,yes
MS61,yes
MS62,yes
MS63,yes
MS64,yes
MS65,yes
