coded_header,label_header
subject_id,Mind & Skin ID
redcap_event_name,Event Name
visit_complete,Complete?
reg_age,_age
reg_grp,Subject group
reg_patcst_fcnt,Future contact regarding related research
reg_patcst_pseudo,Use of pseudo-anonymised data for future research
reg_patcst_fgrp,Focus group participation
reg_patcst_gpcnt,GP contact
registration_complete,Complete?
incl1,1. Patients aged 5 years or above with atopic eczema (groups 1 and 2) which has been diagnosed by a Consultant Dermatologist.
incl2,2. Patients with atopic eczema warranting systemic immuno-modulatory therapy or patients with atopic eczema on topical therapy or healthy control.
incl3,"3.Written informed consent for study participation obtained from patient or parent/guardian, with assent as appropriate by the patient, depending on the level of understanding."
incl4,4. Willingness to comply with all study requirements.
incl5,"5. Competent use of English language, in accordance with patient's age."
excl1,1. Insufficient understanding of the study by the patient and/or parent/guardian.
excl2,2. Any clear contra-indication to MRI scanning. (including braces)
excl3,3. Any condition deemed by the investigator to limit a patient's ability to undertake MRI components or neuro-cognitive assessments in the study.
excl4,"4. Formal diagnosis of sleep disorder, requiring systemic medication."
excl5,"5. Sleep disturbance from co-morbid illness other than atopic eczema, deemed by the investigator to significantly impact on sleep components of the study."
excl6,6. Previous and/or current substance misuse.
excl7,7. Concomitant systemic medications likely to impact on quality of sleep studies.
excl8,8. Current phototherapy treatment.
excl9,9. Body weight < 40kg
eligibility,_eligibility
elig_sign,Signed
elig_signed_yn,Has this been signed?
inclusionexclusion_criteria_complete,Complete?
hw_wght,Weight (kg)
hw_hght,Height (cm)
heightweight_complete,Complete?
ectrt_corti1_fu,1. Corticosteroid/s ?
ectrt_corti1cls_fu,Potency:
ectrt_add1_fu,Add another corticosteriod?
ectrt_corti1cls_2_2,Potency
ectrt_add2_fu,Add another steroid?
ectrt_corti1cls_3_fu,Potency
ectrt_add3_fu,Add another steroid?
ectrt_corti1cls_4_fu,Potency
ectrt_add4_fu,Add another steroid?
ectrt_corti1cls_5_fu,Potency
ectrt_calci1_fu,2. Calcineurin inhibitor/s ?
ectrt_cakci1drg_fu,Calicineurin drug 1
ectrt_calci2_fu,Add another calcineurin inhibitor?
ectrt_cakci2drg_2_fu,Calicineurin drug  2
ectrt_calci3_fu,Add another calcineurin inhibitor?
ectrt_cakci3drg_3_fu,Calicineurin drug 3
ectrt_st_fu,Is the patient starting systemic therapy?
ectrt_st_no_fu,Assign to Group 2 ( topical therapy)
ectrt_st_add1_fu,1. Add  systemic therapy?
ectrt_st_name1_fu,1. Name of systemic therapy
ectrt_st_units1_fu,1. Units of systematic therapy
ectrt_st_freq1_fu,1. Frequency of systemic therapy
